,t,p,v,replicate,alpha,error
0,10000,2.9,0.85,1,-1.03949,0.8833
0,10000,2.9,0.875,1,-1.04062,0.9544
0,10000,2.9,0.9,1,-1.02624,0.8735
0,10000,2.9,0.925,1,-1.03211,0.9401
0,10000,2.9,0.95,1,-1.01506,0.778
0,10000,2.9,0.975,1,-1.02023,0.8843
0,10000,2.9,1.0,1,-0.99751,0.553
0,10000,3.0,0.5,1,-1.17348,1.759
0,10000,3.0,0.525,1,-1.17908,2.4543
0,10000,3.0,0.55,1,-1.13373,1.2995
0,10000,3.0,0.575,1,-1.1428,1.5276
0,10000,3.0,0.6,1,-1.16794,2.3568
0,10000,3.0,0.625,1,-1.12233,1.5404
0,10000,3.0,0.65,1,-1.13822,1.6456
0,10000,3.0,0.675,1,-1.09605,1.0372
0,10000,3.0,0.7,1,-1.11116,1.5097
0,10000,3.0,0.725,1,-1.10159,1.32
0,10000,3.0,0.75,1,-1.08113,1.2575
0,10000,3.0,0.775,1,-1.07544,1.1622
0,10000,3.0,0.8,1,-1.04945,0.6907
0,10000,3.0,0.825,1,-1.06196,1.1079
0,10000,3.0,0.85,1,-1.03803,0.8691
0,10000,3.0,0.875,1,-1.04106,1.0497
0,10000,3.0,0.9,1,-1.02175,0.645
0,10000,3.0,0.925,1,-1.02421,0.8082
0,10000,3.0,0.95,1,-1.01522,0.7689
0,10000,3.0,0.975,1,-1.01551,0.6449
0,10000,3.0,1.0,1,-1.0145,0.8202
0,10000,2.0,0.5,2,-1.12227,1.9537
0,10000,2.0,0.525,2,-1.12568,1.9094
0,10000,2.0,0.55,2,-1.09274,1.3835
0,10000,2.0,0.575,2,-1.0996,1.7877
0,10000,2.0,0.6,2,-1.0799,1.3648
0,10000,2.0,0.625,2,-1.06769,1.1853
0,10000,2.0,0.65,2,-1.05489,1.2093
0,10000,2.0,0.675,2,-1.03876,0.9347
0,10000,2.0,0.7,2,-1.03576,1.0803
0,10000,2.0,0.725,2,-1.03633,1.0295
0,10000,2.0,0.75,2,-1.00082,0.633
0,10000,2.0,0.775,2,-1.00535,0.6626
0,10000,2.0,0.8,2,-1.00889,0.8231
0,10000,2.0,0.825,2,-0.98713,0.6774
0,10000,2.0,0.85,2,-0.96478,0.5705
0,10000,2.0,0.875,2,-0.96871,0.6439
0,10000,2.0,0.9,2,-0.96801,0.6123
0,10000,2.0,0.925,2,-0.96378,0.5937
0,10000,2.0,0.95,2,-0.94706,0.5085
0,10000,2.0,0.975,2,-0.94249,0.5001
0,10000,2.0,1.0,2,-0.93582,0.4509
0,10000,2.1,0.5,2,-1.17166,2.5964
0,10000,2.1,0.525,2,-1.11206,1.437
0,10000,2.1,0.55,2,-1.09506,0.8852
0,10000,2.1,0.575,2,-1.09932,1.305
0,10000,2.1,0.6,2,-1.0726,1.065
0,10000,2.1,0.625,2,-1.0624,1.1054
0,10000,2.1,0.65,2,-1.06362,1.1162
0,10000,2.1,0.675,2,-1.04555,1.0673
0,10000,2.1,0.7,2,-1.04135,0.9349
0,10000,2.1,0.725,2,-1.03275,0.9358
0,10000,2.1,0.75,2,-1.02932,0.9029
0,10000,2.1,0.775,2,-1.01733,0.841
0,10000,2.1,0.8,2,-1.00836,0.8325
0,10000,2.1,0.825,2,-1.00616,0.7781
0,10000,2.1,0.85,2,-0.98741,0.6277
0,10000,2.1,0.875,2,-0.97896,0.6539
0,10000,2.1,0.9,2,-0.98676,0.7305
0,10000,2.1,0.925,2,-0.96088,0.4888
0,10000,2.1,0.95,2,-0.94705,0.3867
0,10000,2.1,0.975,2,-0.95299,0.5674
0,10000,2.1,1.0,2,-0.95079,0.564
0,10000,2.2,0.5,2,-1.1693,2.6728
0,10000,2.2,0.525,2,-1.10654,1.3888
0,10000,2.2,0.55,2,-1.13055,1.6285
0,10000,2.2,0.575,2,-1.0794,1.2096
0,10000,2.2,0.6,2,-1.09389,1.4188
0,10000,2.2,0.625,2,-1.0555,1.0179
0,10000,2.2,0.65,2,-1.06974,1.2191
0,10000,2.2,0.675,2,-1.0705,1.2312
0,10000,2.2,0.7,2,-1.02812,0.9825
0,10000,2.2,0.725,2,-1.02455,0.7214
0,10000,2.2,0.75,2,-1.0415,1.1386
