patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
2422062,1947-06-10,1944-08-22,USA,-95.638695,36.700333,,utility,Water conditioning machine for an oil well operated by water flowing from said well fr feeding reagent to the water ,Charles R Yard,,,Charles R. Yard,['Charles R. Yard'],,"31059,105849,1324508,190506785,851778,1208058,1326553,1638119,2038667,2364488",1944,1964
2423754,1947-07-08,1943-09-28,USA,-95.99353,36.150116,,utility,Analyzer for subterranean fluid reservoirs ,Standard Oil Dev Co,,,William A. Bruce,['William A. Bruce'],,,1943,1964
2466945,1949-04-12,1946-02-21,USA,-122.273064,37.80508,,utility,Generation of synthesis gas ,In Situ Gases Inc,,,Frank C. Greene,['Frank C. Greene'],,947608,1946,1966
2497868,1950-02-21,1946-10-10,SWE,17.62569,59.195366,,utility,Underground exploitation of fuel deposits ,Dalin David,,,David Dalin,['David Dalin'],,"200423,1913395",1946,1967
2514259,1950-07-04,1943-11-23,USA,-96.629791,36.666168,,utility,Method and apparatus for injecting water or other liquids into gas input wells ,"Bonnie J Roberts, Phillips Petroleum Co",,,William J. Reberts,['William J. Reberts'],,"1658305,1249232,1511067,2155718,2261057,2347769",1943,1967
2548059,1951-04-10,1947-10-08,USA,-97.128769,34.172688,,utility,Rearrangement of oil and gas deposits in sealed domes and like natural formations ,Ralph H Ramsey,,,Ralph H. Ramsey,['Ralph H. Ramsey'],,"2048731,2133730",1947,1968
2551434,1951-05-01,1949-04-05,USA,-89.131699,38.528519,,utility,Subsurface pump for flooding operations ,Shell Dev,,,Elden Alien Davenport,"['Elden Alien Davenport','James Earle Gray']",,2214064,1949,1968
2561639,1951-07-24,1949-06-29,USA,-88.250725,40.119213,,utility,Process for preparing coal veins for gasification by removal of underlying clay ,Squires Frederick,,,Frederick Squires,['Frederick Squires'],,,1949,1968
2584605,1952-02-05,1948-04-14,USA,-88.2435,40.114197,,utility,Thermal drive method for recovery of oil ,"Edmund S Merriam, Squires Frederick",,,Frederick Squires,"['Frederick Squires','Edmund S. Merriam']",,"2172683,895612,947608,1263618,1473348,1913395,2204018,2188737,2382471,2365591,2390770,2357703,2444755",1948,1969
2593497,1952-04-22,1947-05-26,USA,-122.675629,45.511799,,utility,Method and apparatus for producing oil wells ,Spearow Ralph,,,Ralph Spearow,['Ralph Spearow'],,"1816260,1886820,2238701,2290431,2421528",1947,1969
2595979,1952-05-06,1949-01-25,USA,-73.930473,41.520149,,utility,Underground liquefaction of coal ,Texas Co,,,Ernest. F. Pevere,"['Ernest. F. Pevere','George B. Arnold']",,"345586,947608,1532826,1669439,2039459,2119647,2177376,2165940",1949,1969
2597261,1952-05-20,1949-12-09,USA,-88.85257,39.028831,,utility,Well clearing apparatus ,Lloyd W Feller,,,Leonard H. Rhoads,['Leonard H. Rhoads'],,"1019413,1190167,1433871,1646599,1733250,1787801,2083732,2224403,2244256",1949,1969
2603296,1952-07-15,1949-06-20,USA,-96.92485,35.332687,,utility,Oil well treating apparatus ,Russell Andrew Craig,,,Andrew Craig Russell,['Andrew Craig Russell'],,"22603,705335,1078623,1500400,1806394,2265923,2331435,2467951",1949,1969
2611436,1952-09-23,1948-04-26,USA,-87.632446,41.884251,,utility,Apparatus for injecting fluids into well bores ,Pure Oil Co,,,Richard H. Carr,"['Richard H. Carr','Kenneth A, Covell']",,"1000583,1547240,1861332,2053981,2019418,2133730,2107006,2217749,2399125,2361194,2365428",1948,1969
2617484,1952-11-11,1949-11-14,USA,-98.494606,29.42458,,utility,Treatment of gaseous mixtures ,Judson S Swearingen,,,Judson S. Swearingen,['Judson S. Swearingen'],,"1015777,1809409,2104327,2215497,2151248,2355167",1949,1969
2623596,1952-12-30,1950-05-16,USA,-96.795113,32.778229,,utility,Method for producing oil by means of carbon dioxide ,Atlantic Refining Co,,,Alvin B. Dyes,"['Alvin B. Dyes','Leonidas P. Whorton']",,"1658305,656466,1415552,1511067,1697260,1843002,1826371,2347769",1950,1969
2624410,1953-01-06,1947-07-25,USA,-98.121506,29.699261,,utility,Apparatus for secondary recovery in oil wells ,Jeddy D Nixon,,,Jeddy D. Nixon,['Jeddy D. Nixon'],,"47530,2156234,2009387,1835603,2004277,2115379,2181099,2421237",1947,1970
2630306,1953-03-03,1952-01-03,USA,-75.15464,39.838829,,utility,Subterranean retorting of shales ,Socony Vacuum Oil Co Inc,,,Louis P. Evans,['Louis P. Evans'],,"1269747,1422204,1919636,2481051",1952,1970
2630307,1953-03-03,1948-12-09,USA,-73.827377,40.950481,,utility,Method of recovering oil from oil shale ,Carbonic Products Inc,,,James W. Martin,['James W. Martin'],,"2224544,1342741,1269747,1422204,1473348,1494735,193276,1475502,2174663,2174336,2382471,2390770",1948,1970
2634961,1953-04-14,1947-06-24,SWE,11.457569,58.239929,,utility,Method of electrothermal production of shale oil ,Svensk Skifferolje Aktiebolage,,,Fredrik Ljungstrom,['Fredrik Ljungstrom'],,"849524,1422204,1457479,1510655",1947,1970
2642943,1953-06-23,1949-05-20,USA,-89.386436,43.073128,,utility,Oil recovery process ,Sinclair Oil & Gas Co,,,Kenneth M. Watson,"['Kenneth M. Watson','Robert L. Smith']",,"2382471,2390770",1949,1970
